id,subject,scene,quality,relevance,verified,script,objects,descriptions,actions,length,,,,,,,,,,,,,,,,,,,,,,,,
46GP8,HR43,Kitchen,6,7,Yes,A person cooking on a stove while watching something out a window.,food,stove,window,A person cooks food on a stove before looking out of a window.,c092 11.90 21.20,c147 0.00 12.60,24.83,,,,,,,,,,,,,,,,,,,,,
N11GT,0KZ7,Stairs,6,7,Yes,"One person opens up a folded blanket, then sneezes and leaves the stairs with a broom.",blanket,broom,floor,"Person at the bottom of the staircase shakes a blanket out, folds it, grabs a broom, and walks down the hallway.",c098 8.60 14.20,c075 0.00 11.70,c127 0.00 15.20,c153 6.40 12.10,18.33,,,,,,,,,,,,,,,,,,,
0IH69,6RE8,Bedroom,6,5,Yes,A person is seen leaving a cabinet. They then begin fixing a picture that's on a shelf.,book,box,cabinet,shelf,"A person is standing in a bedroom. They walk over to a box on a shelf and touch it, rearrange it.;A person organizes something on the wall. They look at it and keep fixing it",,30.25,,,,,,,,,,,,,,,,,,,,,
KRF68,YA10,Laundry room,6,7,Yes,A person runs into their laundry room. They grasp the doorknob and close the door. The person starts dressing then leaves holding their phone.,clothes,door,phone,A person runs in and shuts door. The person grabs a sweater and puts it on. Then grabs phone and walks out.,c018 22.60 27.80,c141 4.10 9.60,c148 10.30 25.00,c006 4.20 10.90,c002 6.80 14.10,c150 0.00 9.90,c000 6.20 15.30,30.33,,,,,,,,,,,,,,,,
MJO7C,6RE8,Kitchen,6,6,Yes,A person runs into their pantry holding a bottle of medicine. They grab the doorknob and close the door while watching a video on their phone.,cup,phone,A person runs in place while holding a bottle and a phone.,c015 0.00 32.00,c107 0.00 32.00,31.38,,,,,,,,,,,,,,,,,,,,,,
S6MPZ,EA2K,Home Office / Study (A room in a house used for work),6,6,Yes,A person is eating at the desk and lying the phone down.,chair,desk,food,phone,plate,snacks,table,"A person in a blue shirt is eating snacks off a glass table and having a conversation with somebody over the phone.;The person sitting on the chair by the desk eating food making phone call,finished with the phone hanged up the phone.",c009 0.00 4.30,c011 0.00 39.00,c015 0.00 39.00,c019 0.00 39.00,c156 0.00 30.70,c059 0.00 39.00,c061 0.00 8.00,c061 5.00 11.50,c017 0.00 35.50,c063 0.00 3.70,38.46,,,,,,,,,
7HVU8,70CN,Hallway,6,7,Yes,A person is throwing items into a bag then starts fixing their clothes.,bag,clothes,floor,hair,"A person is walking down a hallway and tidying up by putting some clothes in a bag, they then begin to brush themselves down.",c020 0.00 5.60,c004 12.40 31.00,c001 0.00 10.00,c144 13.50 18.90,c127 0.00 5.00,c127 1.60 7.80,c127 6.30 12.30,29.62,,,,,,,,,,,,,,,
MCQO5,YMXV,Bedroom,5,,No,A person is undressing in the closet.  They put their clothes back into the wardrobe and drink a glass of water while looking at a picture.,bottle,clothes,picture,wardrobe,water,A person just got inside a room to put on a shirt and drink from a bottle of water in a bedroom.,c148 4.20 13.40,c106 29.60 33.00,c000 2.10 23.50,c107 21.40 33.00,c002 1.50 6.30,c110 20.60 25.90,31.58,,,,,,,,,,,,,,,
VPIYF,HJJ4,Recreation room / Man cave,7,7,Yes,A person is standing by a shelf and grasping his phone off of it.,phone,shelf,A person takes a phone off of a shelf and looks at it.,c015 1.80 11.00,10.29,,,,,,,,,,,,,,,,,,,,,,,
JSUF4,YMXV,Basement (A room below the ground floor),4,5,Yes,A person is sweeping up with a broom and putting things back in their place. They take break on the sofa and start drinking a water.,broom,bucket,cup/glass/bottle,floor,sofa,water,A person is cleaning the floor with a brush in their right hand and holding an orange bucket in their left hand. The person sets down the orange bucket and continues to clean. Then they also put down the brush and walk over to a white sofa and sit down. The person then picks up a bottle of water and drinks from it.,c123 16.10 32.00,c106 17.70 31.80,c102 0.00 12.40,c151 15.10 23.60,c127 0.00 15.50,30.54,,,,,,,,,,,,,,,
8WJIR,DJ17,Bedroom,6,5,Yes,A person in their bedroom is holding a glass of coffee that they picked up from the table. They are smiling because they see something funny on the television and then they start closing the bedroom door.,bed,coffee,cup,door,glass,table,television,"A person sitting on a bed watching a television, drinking a cup of coffee. The person stands up and proceeds to close the doors, turns and goes back to the bed sits down and starts laughing and continues to drink the coffee.;A person sits on the bed watching television. They sip a cup of coffee, get up to close the closet, then sit back down.",c009 4.10 12.90,c106 12.90 23.50,c006 7.40 17.60,c154 7.00 14.20,c107 0.00 10.30,c131 5.10 14.50,c107 15.50 36.00,c152 5.10 14.50,c132 0.60 11.20,c110 11.20 19.70,c151 10.00 20.80,c135 10.20 21.30,c109 5.50 13.60,34.71,,,,,,
INQNU,H8N1,Bedroom,7,7,Yes,A laughing person is fixing a bed in their bedroom while drinking a glass of milk.,bed,blanket,clothes,cup,dish,glass,water,"A person is tidying up a bed, they then sit down and take a drink from a glass then smile.;The person is organizing something in the distance, then takes a sip of a drink out of a cup",c107 10.20 17.30,c135 8.60 14.60,c151 8.80 14.70,c106 9.20 14.80,c152 12.70 19.00,c004 0.00 11.90,c075 0.00 11.90,c118 9.60 19.00,18.46,,,,,,,,,,,
LI6LV,Z68L,Bathroom,7,7,Yes,"In the bathroom, the person put a towel on the doorknob and started undressing.  Half way through they took some medicine from the counter and took it with a drink of water.",clothes,glass,jacket,medicine,mirror,sink,sweater,towel,water,"A person holding a towel places it on a hook. The person takes off a sweater and puts it down. The person turns towards the sink, picks up a bottle of medicine, opens it and takes out a pill, then picks up a glass of water used to take the pill;A person folds a towel and puts in on a counter. Then they take off their jacket and put it down. Then they go to the sink and get some medicine and a glass of water. They eat the medicine and drink the water.",c034 0.00 6.70,c129 30.20 36.00,c106 31.40 36.00,c155 2.70 15.20,c148 13.30 19.40,c129 19.20 26.90,c001 0.00 6.50,c096 28.90 36.00,c002 0.00 6.50,34.71,,,,,,,,
MGCM8,QB52,Bedroom,5,1,No,The young person was eating a sandwich while browsing on their laptop after working and standing all day long.,chair,desk,laptop,table,"A person is sitting at a desk working on the computer and yawning.;A person is sitting at a desk using a computer, they yawn and rub their eyes.",c011 0.00 32.00,c014 0.00 32.00,c059 0.00 32.00,30.75,,,,,,,,,,,,,,,,,,,
I8QJN,2RTW,Kitchen,6,6,Yes,"A person awakens on the floor of the kitchen. The person gets up, putting their hand on the edge of the stove to help. The person walks to the sink, and pours a large glass of water.",cup,floor,glass,sink,stove,water,"A person laying on the floor stands and gets a drink.;A person is laying down and sleeping on the floor, they awaken and serve themselves a glass of water to drink.",c124 0.00 11.30,c106 21.50 30.20,c154 6.50 16.60,c107 12.90 32.00,c146 6.80 12.70,30.92,,,,,,,,,,,,,,,
XC9EY,KFGP,Hallway,6,6,Yes,"A person walks along the hallway, smiling as the person straightens a picture on the wall.  The person puts a glass down on a table.",cup,dish,glass,picture,table,wall,"A person walks down a hallway holding a glass, pausing to adjust a picture on the wall. The person continues on, putting  a glass on a table.",c088 4.20 18.00,c109 15.90 21.50,c009 16.10 21.10,c118 0.00 21.00,c119 15.90 21.10,c107 0.00 20.90,25.29,,,,,,,,,,,,,,
DOQ9Y,EA2K,Pantry,7,7,Yes,"A person undressing by removing their jacket in the pantry. They are looking for some food, and when they find some groceries, they decide on leaving the pantry while closing the door.",bag,clothes,door,food,groceries,jacket,shelf,"Person taking off jacket and hanging it up, and then takes some things off the shelf before walking out and shutting the door.;A person takes a jacket off and puts it on a rack. They take some groceries off a shelf and carry them. They close a door",c001 7.40 15.10,c006 34.00 40.90,c061 17.60 32.00,c097 30.10 41.80,c155 0.00 15.10,c081 24.20 35.30,c141 34.20 41.30,c020 30.30 42.00,c000 6.50 14.70,c023 13.00 20.50,c063 17.20 24.50,c063 21.50 28.40,41.29,,,,,,,
RK9II,EIO2,Laundry room,6,6,Yes,"A person is tidying up with a broom. Laughing, the person walks to the small end table and leans the broom against it.",mop,table,a person moping up a spill on a table,c012 10.30 35.00,c154 29.60 35.00,33.58,,,,,,,,,,,,,,,,,,,,,,
QGQGZ,6RE8,Kitchen,6,6,Yes,A person opens the door into the kitchen then turns the light on in. They then proceed to put the groceries away.,dish,door,food,groceries,light,A person walks through a doorway and turns on a light. A person grabs food off a shelf.,c008 0.00 9.40,c104 10.40 15.00,c130 14.70 34.00,c118 18.80 34.00,c063 19.10 34.00,c061 18.90 33.80,c097 1.00 9.60,32.92,,,,,,,,,,,,,,
5S1WQ,KQI6,Dining room,6,7,Yes,A person is closing the desk and then playing with a broom in the dining room.,broom,chair,desk,floor,"A person throws a broom, then picks it up and tidies up. The person moves a chair to tidy under the desk.;A person walks into a room, picks up a broom and begins tidying the floor.  They pick up a chair to sweep the floor, then put it back in place.",c101 0.00 2.60,c127 7.80 31.80,c102 6.40 30.80,c100 6.00 11.00,c098 6.20 30.70,31.46,,,,,,,,,,,,,,,,,
CUCBN,WQ8Z,Living room,4,6,Yes,A person smiles at a bag of groceries in the living room. A person leaves the groceries in the room and walks outside.,bag,couch,doorway,sofa,table,A person is sitting on a couch and looks into a bag that is on the table.  The person gets up from the couch and walks out of the room,A person is sitting on the sofa playing with groceries than gets up.,c154 7.40 12.90,c123 0.00 11.30,c009 3.70 10.90,c097 13.40 19.60,20.88,,,,,,,,,,,,,,,,
SX0HE,ZSRZ,Hallway,6,7,Yes,"In a hallway, a person drinks from a glass and then holds a a phone to the person's ear.",boy,cup,glass,phone,water,a boy talking on a phone and drinking some water.,A person standing in the hallway drinking water and on the phone.,c107 0.00 12.00,c015 0.00 5.90,c019 2.90 12.00,c106 0.00 5.90,10.54,,,,,,,,,,,,,,,,
72JYK,HJJ4,Stairs,6,7,Yes,"A person turns out a light, and then sits on the bottom step of a flight of stairs, eating some snack food while they watch media on their laptop.",floor,food,laptop,light,staircase,A person is turning off a light and sitting down on a staircase. The person opens a laptop and works on it while eating some food.,c048 6.70 12.00,c061 17.40 23.70,c151 2.60 8.30,c047 4.20 24.00,c052 8.00 24.00,c156 4.20 24.00,c125 4.20 24.00,23.12,,,,,,,,,,,,,,
BDFDE,YMXV,Bedroom,6,6,Yes,A person is walking toward a chair. They sit in the chair and take some medicine.,chair,cup/glass/bottle,medicine,A person sits down on a chair and takes some medicine. The person then drinks some water.,c059 7.30 33.00,c151 5.40 11.20,c129 17.30 28.90,c106 20.50 29.80,c107 10.50 33.00,31.54,,,,,,,,,,,,,,,,,,
H6N4Z,ID9V,Closet / Walk-in closet / Spear closet,3,7,No,A person is putting clothes away on a shelf in a walk-in closet. The person is watching a video on a phone as they do this.,closet,clothes,phone,shelf,A person is watching something on their phone while they are putting clothes on a shelf in the closet.,c113 0.00 7.20,c081 6.90 12.50,c015 0.00 29.00,c001 6.90 12.60,c114 2.90 29.00,c016 0.00 29.00,27.96,,,,,,,,,,,,,,,,
OBTP8,YMXV,Bedroom,4,7,Yes,A person opens a door and enters a bedroom. They begin dressing in clothes and grab a box and leave.,bed,box,clothes,door,mirror,shirt,"A person is walking, opens a door and looks in the mirror before grabbing a box.;A person walks through a door and looks into a mirror. They fix their shirt before grabbing a box off a bed.",c008 3.50 11.80,c040 17.90 24.40,c096 9.20 17.70,c097 0.00 6.70,c155 9.40 21.30,c141 2.80 11.80,31.08,,,,,,,,,,,,,,
4021N,ADN3,Laundry room,7,6,Yes,A person is tidying the laundry room. They throw a pillow into the corner and put a camera into a box.,box,clothes,pillow,trash can,A person walks into a laundry room carrying a pillow and places the pillow behind a trash can. The person then grabs a box off of a shelf and picks something off of the floor and places it into the box.,c040 8.00 27.80,c042 24.00 28.70,c076 0.00 9.90,c039 13.50 22.20,c041 8.80 14.30,c043 6.00 13.20,c000 2.10 10.40,30.33,,,,,,,,,,,,,,,
ZSHWE,3531,Stairs,6,7,Yes,A person is walking down stairs while grasping a book.  The person has a towel draped over the person's shoulder and stops at the bottom of the stairs to undress.,book,clothes,towel,A person walks holding a book. He undresses from a towel and shirt.,c034 11.70 19.50,c026 0.00 23.50,c155 15.20 28.20,c035 10.50 17.50,c033 0.00 18.80,c001 22.00 27.80,c000 22.50 27.40,c002 15.70 26.60,30.75,,,,,,,,,,,,,,,
SFDTP,ZAWX,Entryway (A hall that is generally located at the entrance of a house),7,6,Yes,A person is seen dressing themselves. The person takes clothes out of the box and stands there looking at them.,box,clothes,towel,"a person stretching, walks up to a box, and pulls a shirt out and hold it",c044 14.80 22.30,c000 15.40 31.00,c154 0.00 31.00,c033 14.60 31.00,c035 14.30 31.00,30.5,,,,,,,,,,,,,,,,,,
Q5EPP,ZEM0,Bathroom,6,4,Yes,A person opens a bottle of medicine and plays with food.,medicine,A person is standing in the bathroom and opening a container of medicine. They take some out of the package and swallow them.,c129 22.40 27.80,c128 2.10 40.00,38.75,,,,,,,,,,,,,,,,,,,,,,,
